time,force_cmd_1,force_cmd_2,force_cmd_3,force_cmd_4,omega_cmd_1,omega_cmd_2,omega_cmd_3,omega_cmd_4,force_ctrl_1,force_ctrl_2,force_ctrl_3,force_ctrl_4,force_act_1,force_act_2,force_act_3,force_act_4,force_actuator_force_1,force_actuator_force_2,force_actuator_force_3,force_actuator_force_4,plugin_ctrl_1,plugin_ctrl_2,plugin_ctrl_3,plugin_ctrl_4,plugin_act_omega_1,plugin_act_omega_2,plugin_act_omega_3,plugin_act_omega_4,plugin_actuator_force_1,plugin_actuator_force_2,plugin_actuator_force_3,plugin_actuator_force_4,force_wrench_Fz,force_wrench_Tx,force_wrench_Ty,force_wrench_Tz,plugin_wrench_Fz,plugin_wrench_Tx,plugin_wrench_Ty,plugin_wrench_Tz,motor_force_error_1,motor_force_error_2,motor_force_error_3,motor_force_error_4,wrench_error_Fz,wrench_error_Tx,wrench_error_Ty,wrench_error_Tz,qpos_error_x,qpos_error_y,qpos_error_z,qpos_error_qw,qpos_error_qx,qpos_error_qy,qpos_error_qz,qvel_error_vx,qvel_error_vy,qvel_error_vz,qvel_error_wx,qvel_error_wy,qvel_error_wz
2.6,4.848689887164855,3.756178811287957,5.0722055799724055,3.8980941282314276,1515.6353944230195,1333.999490783377,1550.1758197065521,1358.9663262826305,4.848689887164855,3.756178811287957,5.0722055799724055,3.8980941282314276,4.7423862071156915,3.7221507969941108,5.009612475416075,3.962907957523963,4.7423862071156915,3.7221507969941108,5.009612475416075,3.962907957523963,1515.6353944230195,1333.999490783377,1550.1758197065521,1358.9663262826305,1505.552534804886,1330.1183802922308,1544.646246477496,1365.6081308868029,4.784392045869778,3.734354307732859,5.036084375007223,3.936290288469133,17.43705743704984,-0.002646910777053091,0.050798342883023595,0.031004098920205392,17.491121017078992,-0.004975634840117149,0.04536283098737198,0.03224747737012512,0.042005838754086255,0.012203510738748147,0.02647189959114815,-0.026617669054830095,0.054063580029151126,-0.002328724063064058,-0.005435511895651612,0.0012433784499197298,-1.2718627712774975,-0.6363397761346166,-0.7190544829531138,-0.14738499411952022,0.12071087081968107,-0.07400337768641588,-0.07048765831544007,-0.5934789043675757,-0.2529694007108163,-0.36049031426644174,-1.0672431833073972,10.476077091318139,0.36255822539770666
2.602,4.85355535493634,3.7584204078547683,5.074134886200878,3.8955427182648097,1516.3956437188053,1334.397480712635,1550.4706105498221,1358.5215130407678,4.85355535493634,3.7584204078547683,5.074134886200878,3.8955427182648097,4.747348873066376,3.723453284993647,5.012917573851273,3.9597106771137653,4.747348873066376,3.723453284993647,5.012917573851273,3.9597106771137653,1516.3956437188053,1334.397480712635,1550.4706105498221,1358.5215130407678,1506.327741619499,1330.416774142284,1545.0713801212648,1365.0974848612227,4.789320267348429,3.736029998206388,5.038856923791065,3.933347020728373,17.443430409025062,-0.002931130866477838,0.0501826092905015,0.03115653727215356,17.497554210074256,-0.005221963392065099,0.0446853678964621,0.032382002583071,0.04197139428205254,0.012576713212741009,0.025939349939791967,-0.026363656385392176,0.05412380104919379,-0.002290832525587261,-0.005497241394039398,0.0012254653109174396,-1.2730444206355136,-0.6368491782538968,-0.7197661673933098,-0.17369557306730365,0.08600319087123365,-0.08441548537609594,-0.06733582297749158,-0.5884738686960724,-0.2571459644151002,-0.35120936006813963,-0.9494973607302768,10.582754266835423,0.36374967973888417
2.604,4.8584144163442335,3.7607041622217707,5.075996061730043,3.8930230668942216,1517.1545117836304,1334.8028336202797,1550.7549381698218,1358.0820936169123,4.8584144163442335,3.7607041622217707,5.075996061730043,3.8930230668942216,4.752307816080679,3.724799918627173,5.016160728447368,3.9565426220584565,4.752307816080679,3.724799918627173,5.016160728447368,3.9565426220584565,1517.1545117836304,1334.8028336202797,1550.7549381698218,1358.0820936169123,1507.1017984458185,1330.7228253001085,1545.4864925378213,1364.5919002988082,4.79424370924641,3.7377490802947713,5.041564854424424,3.930434010788879,17.44981108521368,-0.0032110208935406392,0.04955956157979735,0.03130689005763623,17.503991654754486,-0.005463621468390634,0.044000607567212136,0.03251438208880775,0.04193589316573121,0.012949161667598297,0.025404125977055436,-0.02610861126957742,0.054180569540807966,-0.0022526005748499944,-0.0055589540125852155,0.0012074920311715143,-1.27421813579687,-0.6373710121474323,-0.7204598138831351,-0.19495905638037375,0.04727219526556459,-0.09125191245957798,-0.06164879702735837,-0.5856600577067599,-0.2652770789255481,-0.3426666629645254,-0.8303500966033539,10.6883334876253,0.3649238107947186
2.606,4.863266948618839,3.763029944560604,5.077788918462247,3.8905352735911896,1517.9119815297997,1335.2155197672705,1551.0287795932134,1357.6480906042698,4.863266948618839,3.763029944560604,5.077788918462247,3.8905352735911896,4.757262910865281,3.7261906213403817,5.019341611438516,3.953403917427426,4.757262910865281,3.7261906213403817,5.019341611438516,3.953403917427426,1517.9119815297997,1335.2155197672705,1551.0287795932134,1357.6480906042698,1507.87468750507,1331.0365111365934,1545.8915497449057,1364.091402752205,4.799162247120207,3.7395114565257286,5.044207892457382,3.9275513733869425,17.4561990610716,-0.0034865404486190688,0.048929199666027934,0.03145514975303984,17.51043296949026,-0.005700572847596064,0.04330855621983887,0.03264460964497379,0.041899336254926034,0.01332083518534688,0.024866281018866232,-0.025852544040483316,0.05423390841865938,-0.002214032398976995,-0.005620643446189066,0.0011894598919339472,-1.2753888855411653,-0.6379122627504126,-0.7211381545510189,-0.21026430038490065,0.005773152170356455,-0.09411756599455806,-0.05361786828945869,-0.5855671339864299,-0.2763541370430773,-0.33609537629227404,-0.7098267191095715,10.792802116154313,0.3660805611421498
2.608,4.868112829155426,3.7653976226536794,5.079513275204399,3.888079436569528,1518.6680359256109,1335.6355089064612,1551.2921127048753,1357.2195263407618,4.868112829155426,3.7653976226536794,5.079513275204399,3.888079436569528,4.762214032224093,3.7276253140736983,5.022459901352281,3.950294687131358,4.762214032224093,3.7276253140736983,5.022459901352281,3.950294687131358,1518.6680359256109,1335.6355089064612,1551.2921127048753,1357.2195263407618,1508.6463910716109,1331.357808475991,1546.2865186066638,1363.5960175465264,4.8040757566497545,3.7413170269745,5.0467857700101915,3.9246992220597656,17.46259393478143,-0.0037576496070529375,0.04829152421858485,0.03160130898556979,17.516877775694212,-0.005932781827517053,0.04260922084457025,0.0327726791643852,0.041861724425661606,0.013691712900801623,0.0243258686579102,-0.025595465071592383,0.054283840912781045,-0.0021751322204641155,-0.005682303374014597,0.0011713701788154118,-1.276562331811971,-0.6384774393181907,-0.721806196066229,-0.2188801513719191,-0.0371031181521706,-0.09278191552634579,-0.043519732674336675,-0.5883477569535618,-0.2889368256559184,-0.3325093833026731,-0.5879527665497335,10.89614816999893,0.3672198745971551
2.61,4.8729519355173245,3.767807061901687,5.0811689576862875,3.885655652781481,1519.4226579955373,1336.0627702863724,1551.5449162484435,1356.7964229070487,4.8729519355173245,3.767807061901687,5.0811689576862875,3.885655652781481,4.767161055061419,3.7291039152667755,5.025515283042132,3.947215053917341,4.767161055061419,3.7291039152667755,5.025515283042132,3.947215053917341,1519.4226579955373,1336.0627702863724,1551.5449162484435,1356.7964229070487,1509.4168914731517,1331.6866935988792,1546.6713668345556,1363.1057697772192,4.808984113641593,3.7431656892694214,5.0492982258005314,3.9218776691410415,17.468995307287667,-0.004024308933014753,0.04764653666312779,0.03174536053379151,17.523325697852584,-0.006160213228731837,0.041902609203055885,0.032898584715474924,0.041823058580173544,0.014061774002645855,0.023782942758399095,-0.025337384776299654,0.05433039056491751,-0.0021359042957170837,-0.005743927460071907,0.0011532241816834127,-1.2777440291364703,-0.6390678919443271,-0.7224706258396854,-0.22028744729620953,-0.0798774831559681,-0.08719181177315172,-0.031706578465240304,-0.5937405500282151,-0.30134168985068177,-0.33255385507956703,-0.4647539722549823,10.998360322449592,0.36834169621893054
2.612,4.877784145439026,3.7702581253312557,5.082755798578186,3.8832640179138815,1520.1758308204153,1336.4972726550186,1551.7871698268314,1356.3788021245666,4.877784145439026,3.7702581253312557,5.082755798578186,3.8832640179138815,4.772103854385117,3.730626340863128,5.028507447719286,3.944165139364021,4.772103854385117,3.730626340863128,5.028507447719286,3.944165139364021,1520.1758308204153,1336.4972726550186,1551.7871698268314,1356.3788021245666,1510.1861710909727,1332.023142245185,1547.0460629882346,1362.6206843079424,4.813887194032008,3.745057338597637,5.051745005170093,3.9190868257565743,17.475402782331553,-0.004286479483327554,0.04699423918350626,0.0318872973281588,17.529776363556312,-0.006382832397914762,0.041188729829702286,0.03302232052271835,0.04178333964689074,0.014430997734509177,0.023237557450807245,-0.025078313607446834,0.05437358122475899,-0.0020963529145872073,-0.005805509353803973,0.001135023194559548,-1.2789386089738786,-0.6396815480841562,-0.7231389612587265,-0.2142043151364354,-0.12103420297657519,-0.0774770449498734,-0.018593537161032958,-0.60109257161853,-0.3118688615125671,-0.33640099981575045,-0.34025624962049505,11.099427902694224,0.3694459723139225
2.614,4.882609336829268,3.7727506736027308,5.084273637507769,3.8809046263843787,1520.9275375376217,1336.9389842637822,1552.0188539027235,1355.9666855535831,4.882609336829268,3.7727506736027308,5.084273637507769,3.8809046263843787,4.777042305309756,3.732192504314913,5.031436092983916,3.9411450638768026,4.777042305309756,3.732192504314913,5.031436092983916,3.9411450638768026,1520.9275375376217,1336.9389842637822,1552.0188539027235,1355.9666855535831,1510.9542123601382,1332.3671296172727,1547.4105764764,1362.1407857684585,4.818784873890172,3.74699186771095,5.054125860110477,3.916326801819962,17.48181596648539,-0.004544122811227014,0.04633463472360505,0.03202711245152935,17.53622940353156,-0.006600605211129373,0.04046759203293182,0.03314388096704603,0.041742568580415806,0.014799363396037268,0.022689767126561122,-0.024818262056840457,0.054413437046171964,-0.0020564823999023596,-0.00586704269067323,0.0011167685155166751,-1.2801490681329426,-0.6403131154818018,-0.723818549891222,-0.20060364106765716,-0.15907526394859106,-0.06394831409534318,-0.004643955495721261,-0.6094399596694355,-0.3190363701479262,-0.34370740496012875,-0.2144856772708863,11.199340895587497,0.3705326504397881
2.616,4.887427387774116,3.7752845650181053,5.085722321076318,3.8785775713377104,1521.6777613412546,1337.3878728713396,1552.239949799053,1355.5600944912692,4.887427387774116,3.7752845650181053,5.085722321076318,3.8785775713377104,4.781976283059774,3.733802316587849,5.034300922855716,3.9381549466830945,4.781976283059774,3.733802316587849,5.034300922855716,3.9381549466830945,1521.6777613412546,1337.3878728713396,1552.239949799053,1355.5600944912692,1511.7209977697091,1332.7186303830892,1547.7648775576217,1361.6660985525355,4.823677029421288,3.7489691669318006,5.0564405492884426,3.9135977060283116,17.488234469186434,-0.004797200970069693,0.04566772698911875,0.03216479913966819,17.542684451669842,-0.006813498077064384,0.039739205896366536,0.033263260586244264,0.04170074636151355,0.015166850343951488,0.022139626432726267,-0.02455724065478293,0.05444998248340838,-0.002016297106994691,-0.005928521092752215,0.0010984614465760767,-1.281376269051651,-0.6409547342653683,-0.7245155537134558,-0.17972185025291137,-0.19257536704541067,-0.04708758721142847,0.009646985681979983,-0.6176368319641807,-0.32178971815212076,-0.353641346038005,-0.0874684843681166,11.298089941012776,0.3716016794092747
2.618,4.892238176540049,3.7778596555290673,5.087101702874223,3.876282944642025,1522.4264854823089,1337.8439057476344,1552.4504396994487,1355.1590499697902,4.892238176540049,3.7778596555290673,5.087101702874223,3.876282944642025,4.786905662972627,3.7354556861662793,5.037101647803813,3.9351949058276037,4.786905662972627,3.7354556861662793,5.037101647803813,3.9351949058276037,1522.4264854823089,1337.8439057476344,1552.4504396994487,1355.1590499697902,1512.486509862952,1333.077618679372,1548.1089373411382,1361.196646815864,4.828563536969713,3.7509891241593896,5.058688838070449,3.910899645858011,17.494657902770324,-0.0050456765169862305,0.044993520449251034,0.032300350781738346,17.54914114505756,-0.007021477940211351,0.03900358227993572,0.033380454075341404,0.04165787399708609,0.015533437993110244,0.02158719026663558,-0.024295259969592475,0.05448324228723678,-0.001975801423225121,-0.005989938169315312,0.0010801032936030575,-1.282618732223245,-0.6415969983297973,-0.7252340577961487,-0.15205843138132702,-0.22023553335327906,-0.027531144313331257,0.02376972773231064,-0.624515152883375,-0.3196571299547182,-0.36497892442929114,0.040768963928542234,11.395666332843525,0.3726530092939697
2.62,4.897041581577034,3.7804757987451905,5.088411643495786,3.874020836885256,1523.1736932688514,1338.3070496778955,1552.650306648667,1354.7635727544148,4.897041581577034,3.7804757987451905,5.088411643495786,3.874020836885256,4.791830320501941,3.737152519058371,5.039837984776027,3.932265058167675,4.791830320501941,3.737152519058371,5.039837984776027,3.932265058167675,1523.1736932688514,1338.3070496778955,1552.650306648667,1354.7635727544148,1513.2507312375465,1333.4440681149144,1548.442727787627,1360.7324544739865,4.833444273022103,3.7530516248759263,5.060870498546539,3.908232727560553,17.501085882504015,-0.005289512516478301,0.044312020338339086,0.03243376092077882,17.55559912400512,-0.007224512283980966,0.03826073282090631,0.033495456286982445,0.0416139525201622,0.01589910581755527,0.021032513770511407,-0.024032330607121732,0.05451324150110537,-0.0019349997675026653,-0.00605128751743278,0.0010616953662036244,-1.2838727609659495,-0.6422302132092321,-0.7259754318253648,-0.1183659677157034,-0.2409333007634621,-0.006045898992364351,0.037218255848381114,-0.6290532345399145,-0.312827785789886,-0.37625819758695034,0.1702001808404816,11.492062017511216,0.3736865914279601
2.622,4.9018374815215955,3.783132845942262,5.0896520105533,3.8717913373715436,1523.919368066192,1338.7772709667072,1552.8395345529964,1354.3736833416415,4.9018374815215955,3.783132845942262,5.0896520105533,3.8717913373715436,4.796750131220659,3.7388927188014622,5.042509657227478,3.9293655193686763,4.796750131220659,3.7388927188014622,5.042509657227478,3.9293655193686763,1523.919368066192,1338.7772709667072,1552.8395345529964,1354.3736833416415,1514.0136445457888,1333.8179517738895,1548.7662217099498,1360.2735452002414,4.8383191142105275,3.755156552153024,5.0629853095535235,3.9055970561583973,17.507518026618275,-0.0055286725439604445,0.043623232657403255,0.032565023254169975,17.562058032075473,-0.0074225691337623245,0.03751066993483693,0.03360826223178942,0.041568982989868886,0.016263833351561896,0.020475652326045868,-0.023768463210279034,0.054540005457198504,-0.00189389658980188,-0.006112562722566328,0.0010432389776194456,-1.2851328915886429,-0.6428457220127797,-0.7267380423368106,-0.0796307797353859,-0.2537675751363162,0.016500123558100543,0.04950786516970927,-0.6305286233657994,-0.3021405490497082,-0.3859719464496161,0.30079857217623385,11.587269592187496,0.3747023784113974
2.624,4.906625755199881,3.7858306460707283,5.090822678690435,3.8695945341177103,1524.6634932970535,1339.2545354421175,1553.018108180643,1353.9894019573458,4.906625755199881,3.7858306460707283,5.090822678690435,3.8695945341177103,4.8016649708241825,3.740676186467543,5.045116395148533,3.926496403899436,4.8016649708241825,3.740676186467543,5.045116395148533,3.926496403899436,1524.6634932970535,1339.2545354421175,1553.018108180643,1353.9894019573458,1514.7752324947946,1334.1992422192309,1549.0793927738712,1359.8199424237198,4.843187937315603,3.7573037866582153,5.065033056697493,3.9029927354408893,17.513953956339694,-0.005763120689245782,0.042927164175624366,0.03269413163408606,17.568517516112202,-0.007615617059921587,0.03675340681645639,0.03371886707870986,0.04152296649142073,0.016627600190672442,0.01991666154895988,-0.023503668458546567,0.054563559772507375,-0.0018524963706758046,-0.006173757359167975,0.001024735444623795,-1.2863926144913425,-0.643437117964921,-0.7275173682448006,-0.03704463198613006,-0.25809636298143485,0.03917202449797863,0.060192160781864956,-0.628632690807337,-0.2889828371865306,-0.3927736313321226,0.43253745035784164,11.681282302587938,0.37570032411394116
