step,time,ctrl_drone_1_rotor1,ctrl_drone_1_rotor2,ctrl_drone_1_rotor3,ctrl_drone_1_rotor4,act_drone_1_rotor1,act_drone_1_rotor2,act_drone_1_rotor3,act_drone_1_rotor4,actuator_force_drone_1_rotor1,actuator_force_drone_1_rotor2,actuator_force_drone_1_rotor3,actuator_force_drone_1_rotor4,desired_Fx,desired_Fy,desired_Fz,desired_Tx,desired_Ty,desired_Tz,actual_Fx,actual_Fy,actual_Fz,actual_Tx,actual_Ty,actual_Tz,error_Fx,error_Fy,error_Fz,error_Tx,error_Ty,error_Tz,qpos_x,qpos_y,qpos_z,qpos_qw,qpos_qx,qpos_qy,qpos_qz,qvel_x,qvel_y,qvel_z,qvel_wx,qvel_wy,qvel_wz
20,0.06000000000000002,1.3844521956789158,0.8867375111653644,1.5089258863186783,1.2198844068370454,1.1345846014986678,0.7908360296835448,1.2982213104489417,1.0433232477170968,1.1345846014986678,0.7908360296835448,1.2982213104489417,1.0433232477170968,0.0,0.0,5.0,0.02086732050319176,0.04576205863114452,0.01180134245992776,0.0,0.0,4.266965189348252,0.008885050908327807,0.0416123926983826,0.008979699518204518,0.0,0.0,-0.7330348106517484,-0.011982269594863953,-0.00414966593276192,-0.002821642941723242,-1.4976604903143163e-06,2.5860136420573374e-07,2.001948755969312,0.9999797366901619,0.0005102360111778866,0.006314823140939433,0.000623600020910729,0.00012491210419203282,9.366137999718543e-06,0.10225627789889205,0.07477411544452044,0.6585028077344456,0.06762751774268944
21,0.06300000000000001,1.3890673340723645,0.8842599234532846,1.506317539981867,1.2203552024924853,1.16059735904351,0.8030680346848926,1.322980179384676,1.0632108724947942,1.16059735904351,0.8030680346848926,1.322980179384676,1.0632108724947942,0.0,0.0,5.0,0.021884507312969897,0.04533454849487038,0.01186154622162695,0.0,0.0,4.349856445607873,0.009776001746873542,0.04225256581510675,0.009259479468727488,0.0,0.0,-0.6501435543921268,-0.012108505566096356,-0.0030819826797636313,-0.0026020667528994616,-8.26091793453012e-07,2.751311933085047e-07,2.002286494532666,0.999972141852361,0.0006432032538880528,0.007400021991237747,0.0007358554919809897,0.00022385623228710143,5.509943034256977e-06,0.11257952111802057,0.08862420457147899,0.7234662650198602,0.07502927486079075
22,0.06600000000000002,1.393541867206013,0.8820203886478342,1.5034901909061367,1.2209475532400187,1.1842518681750247,0.8135302318950226,1.344743217050202,1.0808490776894404,1.1842518681750247,0.8135302318950226,1.344743217050202,1.0808490776894404,0.0,0.0,5.0,0.02289788408920593,0.04488754882923094,0.01191096174336447,0.0,0.0,4.42337439480969,0.010682749691924023,0.042781019466959516,0.009519236634611454,0.0,0.0,-0.5766256051903103,-0.012215134397281908,-0.002106529362271424,-0.002391725108753016,2.1710301266532196e-07,2.730965449116992e-07,2.0026558040146805,0.9999624679173963,0.0007990025871760011,0.00858403771301466,0.0008594463086961804,0.00034773160203944466,-6.782161322685037e-07,0.12310316067144236,0.10383862829678336,0.7893463048744044,0.08265725189208314
23,0.06900000000000002,1.3978741245281592,0.8800196164647272,1.5004440115065556,1.22166224750056,1.205799816418523,0.8224491387133751,1.3638245540349476,1.096505457255469,1.205799816418523,0.8224491387133751,1.3638245540349476,1.096505457255469,0.0,0.0,5.0,0.023907274405743546,0.04442125180142316,0.011949544081041432,0.0,0.0,4.488578966422315,0.011603158092566929,0.043208105615851866,0.009760046617269397,0.0,0.0,-0.511421033577685,-0.012304116313176617,-0.0012131461855712927,-0.002189497463772035,1.7147799401028223e-06,2.438716008713453e-07,2.003057217348885,0.9999503356967061,0.0009797122423212152,0.009867976509400495,0.000994657517458918,0.0004992256424791667,-9.741648013451306e-06,0.13380444473487887,0.12043695728554672,0.8559652256564071,0.09049463168157693
24,0.07200000000000002,1.402062580697632,0.8782581299290291,1.4971793574186794,1.2224999319546608,1.2254641772458554,0.830025821946736,1.380502736428803,1.110417497931545,1.2254641772458554,0.830025821946736,1.380502736428803,1.110417497931545,0.0,0.0,5.0,0.024912502530458264,0.04393585787466811,0.011977258143489336,0.0,0.0,4.5464102335529395,0.01253531168018615,0.043543023516775664,0.009982853906945664,0.0,0.0,-0.4535897664470605,-0.012377190850272113,-0.0003928343578924465,-0.0019944042365436718,3.757890424805631e-06,1.7704140617864372e-07,2.0034912068515527,0.9999353294611225,0.0011874347855464844,0.011252702457986022,0.00114174493592897,0.0006810368282342695,-2.227673156423385e-05,0.14466316755586195,0.13843524674518357,0.92316213760537,0.09852550438995439
25,0.07500000000000002,1.4061058564076525,0.8767362649821946,1.4936967677385462,1.2234611108716082,1.2434424729374705,0.8364387549966108,1.395024770133757,1.1227959681845017,1.2434424729374705,0.8364387549966108,1.395024770133757,1.1227959681845017,0.0,0.0,5.0,0.02591339345585196,0.043431575722030866,0.011994078724385971,0.0,0.0,4.59770196625234,0.013477491599160438,0.04379395103841775,0.010188487798351728,0.0,0.0,-0.4022980337476598,-0.012435901856691522,0.000362375316386887,-0.0018055909260342434,6.445489690418644e-06,6.024360598688432e-08,2.003958190984287,0.9999169967596512,0.0014242923751561114,0.012738859777412792,0.0013009358021906776,0.0008958664218710044,-3.89326000639198e-05,0.15566137757805198,0.15784641087669482,0.9907911109488694,0.10673475784803471
26,0.07800000000000003,1.4100027190683737,0.8754541702480725,1.4899969651043232,1.2245461455792326,1.259909668637729,0.8418463518413667,1.4076097079447192,1.133827923794257,1.259909668637729,0.8418463518413667,1.4076097079447192,1.133827923794257,0.0,0.0,5.0,0.026909772929521174,0.042908622136711067,0.01199999052518091,0.0,0.0,4.643193652218072,0.014428153264590016,0.04396816112598806,0.01037767651420237,0.0,0.0,-0.3568063477819283,-0.012481619664931158,0.0010595389892769924,-0.001622314010978539,9.884724370308943e-06,-1.209885592667132e-07,2.004458540339426,0.9998948483746237,0.0016924225051083261,0.014326892614814611,0.001472429270341728,0.0011464115599634328,-6.041072175119917e-05,0.166783118379732,0.17868055652447537,1.0587195345870366,0.11510798122056534
27,0.08100000000000003,1.4137520833476267,0.8744118069581632,1.4860808556193665,1.225755254074846,1.2750207392923565,0.8463892143787509,1.4184518310853442,1.1436793734453468,1.2750207392923565,0.8463892143787509,1.4184518310853442,1.1436793734453468,0.0,0.0,5.0,0.027901467484494003,0.042367221938842514,0.011994988169009754,0.0,0.0,4.683541158201798,0.015385906727360815,0.04407212508595834,0.010551059738304044,0.0,0.0,-0.3164588417982017,-0.012515560757133188,0.0017049031471158271,-0.0014439284307057095,1.4190802880504252e-05,-3.8338177458339597e-07,2.004992582935595,0.999868358395874,0.0019939741793809783,0.01601706263475273,0.0016563967720754557,0.001435359503398436,-8.746440510556093e-05,0.17801419872291774,0.20094528055991392,1.1268266614769376,0.12363138047990933
28,0.08400000000000003,1.4173530115695467,0.873608949036246,1.4819495286166031,1.2270885107776066,1.2889129464426399,0.8501921255596595,1.4277234710399829,1.1524976427870512,1.2889129464426399,0.8501921255596595,1.4277234710399829,1.1524976427870512,0.0,0.0,5.0,0.02888830446943021,0.04180760787884194,0.011979076205584466,0.0,0.0,4.719326185829334,0.01634949926300487,0.04411160418247349,0.01070919973703868,0.0,0.0,-0.28067381417066617,-0.012538805206425339,0.002303996303631553,-0.0012698764685457869,1.948695152745609e-05,-7.460765274450716e-07,2.0055606089008773,0.9998369643983319,0.002331104467617671,0.01780946465865539,0.0018529822616155493,0.0017653828823172796,-0.00012089825095389186,0.18934198842739752,0.22464593503469388,1.1950023195410104,0.13229170435892038
29,0.08700000000000004,1.4208047139709197,0.873045183342342,1.4776042562642617,1.2285458464224817,1.3017078576698078,0.8533658170768421,1.4355775123391086,1.1604134710749239,1.3017078576698078,0.8533658170768421,1.4355775123391086,1.1604134710749239,0.0,0.0,5.0,0.029870112078679362,0.04123002053734856,0.011952269107055347,0.0,0.0,4.751064658160683,0.017317799932878103,0.04409173086673826,0.010852591227857256,0.0,0.0,-0.2489353418393172,-0.01255231214580126,0.0028617103293896995,-0.0010996778791980914,2.5904358865907803e-05,-1.2307792332697636e-06,2.006162874612342,0.9998000677090968,0.002705975398000915,0.0197040405757132,0.002062302359389168,0.002139135779483904,-0.0001615675686082307,0.20075523715480867,0.24978586369313704,1.2631457693196817,0.1410761796019355
